x,y,angle,class_id, octave,response,size
64,3,-1.000000000000000,-1,0,26,7
64,6,-1.000000000000000,-1,0,149,7
41,12,-1.000000000000000,-1,0,21,7
53,12,-1.000000000000000,-1,0,38,7
56,13,-1.000000000000000,-1,0,64,7
39,14,-1.000000000000000,-1,0,22,7
48,16,-1.000000000000000,-1,0,37,7
39,18,-1.000000000000000,-1,0,54,7
54,18,-1.000000000000000,-1,0,110,7
39,20,-1.000000000000000,-1,0,33,7
59,20,-1.000000000000000,-1,0,92,7
54,23,-1.000000000000000,-1,0,80,7
64,24,-1.000000000000000,-1,0,137,7
59,25,-1.000000000000000,-1,0,51,7
46,33,-1.000000000000000,-1,0,128,7
70,3,-1.000000000000000,-1,0,22,7
66,4,-1.000000000000000,-1,0,123,7
73,4,-1.000000000000000,-1,0,60,7
78,4,-1.000000000000000,-1,0,76,7
80,4,-1.000000000000000,-1,0,27,7
83,4,-1.000000000000000,-1,0,30,7
93,4,-1.000000000000000,-1,0,20,7
65,6,-1.000000000000000,-1,0,139,7
80,6,-1.000000000000000,-1,0,38,7
85,7,-1.000000000000000,-1,0,21,7
90,8,-1.000000000000000,-1,0,22,7
95,9,-1.000000000000000,-1,0,62,7
86,11,-1.000000000000000,-1,0,96,7
92,11,-1.000000000000000,-1,0,30,7
81,14,-1.000000000000000,-1,0,23,7
91,14,-1.000000000000000,-1,0,29,7
85,16,-1.000000000000000,-1,0,57,7
88,16,-1.000000000000000,-1,0,81,7
82,18,-1.000000000000000,-1,0,41,7
81,20,-1.000000000000000,-1,0,26,7
81,23,-1.000000000000000,-1,0,21,7
85,23,-1.000000000000000,-1,0,46,7
65,25,-1.000000000000000,-1,0,61,7
80,25,-1.000000000000000,-1,0,23,7
68,26,-1.000000000000000,-1,0,80,7
71,26,-1.000000000000000,-1,0,97,7
76,26,-1.000000000000000,-1,0,42,7
73,27,-1.000000000000000,-1,0,58,7
79,27,-1.000000000000000,-1,0,65,7
81,27,-1.000000000000000,-1,0,35,7
85,27,-1.000000000000000,-1,0,184,7
76,28,-1.000000000000000,-1,0,58,7
100,3,-1.000000000000000,-1,0,25,7
109,3,-1.000000000000000,-1,0,118,7
115,4,-1.000000000000000,-1,0,39,7
98,5,-1.000000000000000,-1,0,64,7
108,5,-1.000000000000000,-1,0,102,7
111,7,-1.000000000000000,-1,0,93,7
115,7,-1.000000000000000,-1,0,25,7
98,8,-1.000000000000000,-1,0,46,7
105,8,-1.000000000000000,-1,0,78,7
120,8,-1.000000000000000,-1,0,155,7
101,9,-1.000000000000000,-1,0,60,7
97,10,-1.000000000000000,-1,0,20,7
97,12,-1.000000000000000,-1,0,42,7
106,12,-1.000000000000000,-1,0,66,7
112,12,-1.000000000000000,-1,0,62,7
120,13,-1.000000000000000,-1,0,76,7
126,13,-1.000000000000000,-1,0,59,7
125,15,-1.000000000000000,-1,0,26,7
101,16,-1.000000000000000,-1,0,24,7
104,16,-1.000000000000000,-1,0,27,7
96,17,-1.000000000000000,-1,0,28,7
113,17,-1.000000000000000,-1,0,85,7
98,18,-1.000000000000000,-1,0,42,7
125,18,-1.000000000000000,-1,0,92,7
100,19,-1.000000000000000,-1,0,42,7
97,20,-1.000000000000000,-1,0,33,7
102,20,-1.000000000000000,-1,0,20,7
114,20,-1.000000000000000,-1,0,22,7
118,20,-1.000000000000000,-1,0,26,7
100,21,-1.000000000000000,-1,0,27,7
104,21,-1.000000000000000,-1,0,22,7
125,21,-1.000000000000000,-1,0,39,7
102,22,-1.000000000000000,-1,0,21,7
119,23,-1.000000000000000,-1,0,23,7
125,24,-1.000000000000000,-1,0,112,7
108,25,-1.000000000000000,-1,0,28,7
122,25,-1.000000000000000,-1,0,23,7
110,26,-1.000000000000000,-1,0,22,7
114,26,-1.000000000000000,-1,0,23,7
118,28,-1.000000000000000,-1,0,23,7
116,29,-1.000000000000000,-1,0,28,7
125,32,-1.000000000000000,-1,0,127,7
98,33,-1.000000000000000,-1,0,27,7
131,3,-1.000000000000000,-1,0,22,7
140,3,-1.000000000000000,-1,0,34,7
157,4,-1.000000000000000,-1,0,50,7
154,6,-1.000000000000000,-1,0,22,7
138,7,-1.000000000000000,-1,0,80,7
140,7,-1.000000000000000,-1,0,79,7
149,8,-1.000000000000000,-1,0,83,7
152,8,-1.000000000000000,-1,0,87,7
129,9,-1.000000000000000,-1,0,50,7
134,9,-1.000000000000000,-1,0,21,7
138,9,-1.000000000000000,-1,0,89,7
145,9,-1.000000000000000,-1,0,97,7
157,10,-1.000000000000000,-1,0,77,7
128,11,-1.000000000000000,-1,0,33,7
132,11,-1.000000000000000,-1,0,78,7
139,11,-1.000000000000000,-1,0,70,7
141,11,-1.000000000000000,-1,0,36,7
148,11,-1.000000000000000,-1,0,39,7
154,11,-1.000000000000000,-1,0,63,7
127,13,-1.000000000000000,-1,0,104,7
152,13,-1.000000000000000,-1,0,79,7
132,14,-1.000000000000000,-1,0,92,7
145,15,-1.000000000000000,-1,0,49,7
149,15,-1.000000000000000,-1,0,112,7
129,16,-1.000000000000000,-1,0,24,7
157,16,-1.000000000000000,-1,0,32,7
133,17,-1.000000000000000,-1,0,104,7
138,17,-1.000000000000000,-1,0,58,7
144,17,-1.000000000000000,-1,0,80,7
150,18,-1.000000000000000,-1,0,21,7
127,20,-1.000000000000000,-1,0,33,7
137,20,-1.000000000000000,-1,0,57,7
143,33,-1.000000000000000,-1,0,24,7
179,3,-1.000000000000000,-1,0,28,7
158,4,-1.000000000000000,-1,0,81,7
182,5,-1.000000000000000,-1,0,92,7
179,8,-1.000000000000000,-1,0,20,7
160,9,-1.000000000000000,-1,0,48,7
162,9,-1.000000000000000,-1,0,57,7
172,9,-1.000000000000000,-1,0,35,7
186,9,-1.000000000000000,-1,0,29,7
162,11,-1.000000000000000,-1,0,33,7
170,11,-1.000000000000000,-1,0,41,7
174,11,-1.000000000000000,-1,0,30,7
158,13,-1.000000000000000,-1,0,30,7
164,13,-1.000000000000000,-1,0,53,7
187,13,-1.000000000000000,-1,0,42,7
160,15,-1.000000000000000,-1,0,76,7
168,15,-1.000000000000000,-1,0,22,7
171,16,-1.000000000000000,-1,0,26,7
174,16,-1.000000000000000,-1,0,34,7
184,16,-1.000000000000000,-1,0,22,7
187,16,-1.000000000000000,-1,0,38,7
218,3,-1.000000000000000,-1,0,22,7
196,10,-1.000000000000000,-1,0,31,7
202,10,-1.000000000000000,-1,0,36,7
208,10,-1.000000000000000,-1,0,35,7
213,10,-1.000000000000000,-1,0,29,7
210,12,-1.000000000000000,-1,0,25,7
213,12,-1.000000000000000,-1,0,37,7
191,13,-1.000000000000000,-1,0,31,7
196,13,-1.000000000000000,-1,0,31,7
201,13,-1.000000000000000,-1,0,30,7
207,14,-1.000000000000000,-1,0,23,7
203,15,-1.000000000000000,-1,0,24,7
214,15,-1.000000000000000,-1,0,21,7
191,16,-1.000000000000000,-1,0,40,7
200,17,-1.000000000000000,-1,0,23,7
205,17,-1.000000000000000,-1,0,20,7
211,17,-1.000000000000000,-1,0,26,7
217,17,-1.000000000000000,-1,0,22,7
217,20,-1.000000000000000,-1,0,53,7
216,33,-1.000000000000000,-1,0,27,7
233,3,-1.000000000000000,-1,0,24,7
241,3,-1.000000000000000,-1,0,67,7
238,5,-1.000000000000000,-1,0,82,7
242,5,-1.000000000000000,-1,0,37,7
247,5,-1.000000000000000,-1,0,150,7
231,7,-1.000000000000000,-1,0,76,7
240,9,-1.000000000000000,-1,0,63,7
220,10,-1.000000000000000,-1,0,22,7
237,10,-1.000000000000000,-1,0,90,7
233,11,-1.000000000000000,-1,0,23,7
242,11,-1.000000000000000,-1,0,61,7
222,12,-1.000000000000000,-1,0,23,7
246,12,-1.000000000000000,-1,0,116,7
227,13,-1.000000000000000,-1,0,30,7
240,13,-1.000000000000000,-1,0,45,7
237,14,-1.000000000000000,-1,0,31,7
250,14,-1.000000000000000,-1,0,48,7
241,16,-1.000000000000000,-1,0,56,7
222,17,-1.000000000000000,-1,0,43,7
229,17,-1.000000000000000,-1,0,49,7
232,17,-1.000000000000000,-1,0,39,7
250,17,-1.000000000000000,-1,0,51,7
237,18,-1.000000000000000,-1,0,51,7
241,18,-1.000000000000000,-1,0,76,7
246,18,-1.000000000000000,-1,0,53,7
225,19,-1.000000000000000,-1,0,35,7
234,19,-1.000000000000000,-1,0,31,7
239,19,-1.000000000000000,-1,0,51,7
247,21,-1.000000000000000,-1,0,59,7
239,22,-1.000000000000000,-1,0,66,7
250,23,-1.000000000000000,-1,0,24,7
245,24,-1.000000000000000,-1,0,80,7
249,25,-1.000000000000000,-1,0,47,7
238,28,-1.000000000000000,-1,0,64,7
245,28,-1.000000000000000,-1,0,25,7
238,32,-1.000000000000000,-1,0,71,7
227,33,-1.000000000000000,-1,0,22,7
229,33,-1.000000000000000,-1,0,22,7
232,33,-1.000000000000000,-1,0,30,7
235,33,-1.000000000000000,-1,0,25,7
244,33,-1.000000000000000,-1,0,30,7
267,3,-1.000000000000000,-1,0,27,7
278,3,-1.000000000000000,-1,0,82,7
274,4,-1.000000000000000,-1,0,24,7
260,5,-1.000000000000000,-1,0,26,7
255,9,-1.000000000000000,-1,0,30,7
252,12,-1.000000000000000,-1,0,43,7
257,12,-1.000000000000000,-1,0,37,7
276,12,-1.000000000000000,-1,0,20,7
260,13,-1.000000000000000,-1,0,68,7
267,13,-1.000000000000000,-1,0,22,7
258,14,-1.000000000000000,-1,0,68,7
278,15,-1.000000000000000,-1,0,81,7
273,16,-1.000000000000000,-1,0,36,7
251,17,-1.000000000000000,-1,0,51,7
281,17,-1.000000000000000,-1,0,20,7
254,18,-1.000000000000000,-1,0,71,7
258,18,-1.000000000000000,-1,0,34,7
265,18,-1.000000000000000,-1,0,34,7
270,18,-1.000000000000000,-1,0,33,7
275,18,-1.000000000000000,-1,0,28,7
258,20,-1.000000000000000,-1,0,37,7
266,20,-1.000000000000000,-1,0,71,7
276,20,-1.000000000000000,-1,0,92,7
253,21,-1.000000000000000,-1,0,57,7
280,21,-1.000000000000000,-1,0,26,7
269,22,-1.000000000000000,-1,0,30,7
280,23,-1.000000000000000,-1,0,84,7
278,25,-1.000000000000000,-1,0,22,7
279,27,-1.000000000000000,-1,0,24,7
296,4,-1.000000000000000,-1,0,22,7
284,19,-1.000000000000000,-1,0,22,7
282,23,-1.000000000000000,-1,0,31,7
288,25,-1.000000000000000,-1,0,33,7
293,27,-1.000000000000000,-1,0,25,7
286,29,-1.000000000000000,-1,0,49,7
309,29,-1.000000000000000,-1,0,65,7
312,29,-1.000000000000000,-1,0,26,7
304,31,-1.000000000000000,-1,0,45,7
284,32,-1.000000000000000,-1,0,20,7
300,33,-1.000000000000000,-1,0,22,7
304,33,-1.000000000000000,-1,0,38,7
316,4,-1.000000000000000,-1,0,35,7
323,4,-1.000000000000000,-1,0,44,7
318,6,-1.000000000000000,-1,0,28,7
328,7,-1.000000000000000,-1,0,24,7
334,9,-1.000000000000000,-1,0,32,7
326,10,-1.000000000000000,-1,0,35,7
332,11,-1.000000000000000,-1,0,24,7
327,12,-1.000000000000000,-1,0,63,7
331,14,-1.000000000000000,-1,0,44,7
