x,y,angle,class_id, octave,response,size
7,3,-1.000000000000000,-1,0,24,7
5,4,-1.000000000000000,-1,0,36,7
12,4,-1.000000000000000,-1,0,40,7
15,4,-1.000000000000000,-1,0,25,7
23,4,-1.000000000000000,-1,0,46,7
27,6,-1.000000000000000,-1,0,56,7
9,7,-1.000000000000000,-1,0,36,7
4,8,-1.000000000000000,-1,0,49,7
16,8,-1.000000000000000,-1,0,21,7
22,8,-1.000000000000000,-1,0,34,7
28,9,-1.000000000000000,-1,0,33,7
7,10,-1.000000000000000,-1,0,32,7
23,11,-1.000000000000000,-1,0,38,7
16,12,-1.000000000000000,-1,0,28,7
22,13,-1.000000000000000,-1,0,62,7
25,13,-1.000000000000000,-1,0,24,7
4,14,-1.000000000000000,-1,0,20,7
9,15,-1.000000000000000,-1,0,25,7
15,15,-1.000000000000000,-1,0,53,7
28,15,-1.000000000000000,-1,0,59,7
17,17,-1.000000000000000,-1,0,52,7
20,17,-1.000000000000000,-1,0,39,7
24,18,-1.000000000000000,-1,0,42,7
24,21,-1.000000000000000,-1,0,24,7
29,21,-1.000000000000000,-1,0,48,7
6,22,-1.000000000000000,-1,0,41,7
32,22,-1.000000000000000,-1,0,53,7
14,23,-1.000000000000000,-1,0,22,7
26,23,-1.000000000000000,-1,0,36,7
25,25,-1.000000000000000,-1,0,63,7
18,26,-1.000000000000000,-1,0,41,7
30,26,-1.000000000000000,-1,0,33,7
12,27,-1.000000000000000,-1,0,43,7
16,28,-1.000000000000000,-1,0,30,7
12,29,-1.000000000000000,-1,0,33,7
33,29,-1.000000000000000,-1,0,29,7
24,30,-1.000000000000000,-1,0,26,7
11,31,-1.000000000000000,-1,0,29,7
6,32,-1.000000000000000,-1,0,23,7
19,32,-1.000000000000000,-1,0,41,7
29,32,-1.000000000000000,-1,0,71,7
12,33,-1.000000000000000,-1,0,33,7
23,34,-1.000000000000000,-1,0,61,7
28,34,-1.000000000000000,-1,0,30,7
16,35,-1.000000000000000,-1,0,35,7
31,35,-1.000000000000000,-1,0,46,7
23,37,-1.000000000000000,-1,0,47,7
3,38,-1.000000000000000,-1,0,20,7
9,38,-1.000000000000000,-1,0,86,7
34,38,-1.000000000000000,-1,0,71,7
15,39,-1.000000000000000,-1,0,20,7
30,39,-1.000000000000000,-1,0,47,7
66,3,-1.000000000000000,-1,0,33,7
52,4,-1.000000000000000,-1,0,55,7
62,6,-1.000000000000000,-1,0,40,7
52,7,-1.000000000000000,-1,0,71,7
55,8,-1.000000000000000,-1,0,31,7
58,9,-1.000000000000000,-1,0,36,7
57,16,-1.000000000000000,-1,0,31,7
63,17,-1.000000000000000,-1,0,39,7
53,19,-1.000000000000000,-1,0,28,7
65,20,-1.000000000000000,-1,0,25,7
36,21,-1.000000000000000,-1,0,48,7
50,25,-1.000000000000000,-1,0,34,7
56,25,-1.000000000000000,-1,0,28,7
39,29,-1.000000000000000,-1,0,58,7
42,30,-1.000000000000000,-1,0,69,7
42,33,-1.000000000000000,-1,0,47,7
60,33,-1.000000000000000,-1,0,24,7
37,35,-1.000000000000000,-1,0,20,7
35,38,-1.000000000000000,-1,0,70,7
39,39,-1.000000000000000,-1,0,44,7
44,39,-1.000000000000000,-1,0,40,7
68,3,-1.000000000000000,-1,0,42,7
76,3,-1.000000000000000,-1,0,57,7
80,3,-1.000000000000000,-1,0,23,7
84,3,-1.000000000000000,-1,0,44,7
93,4,-1.000000000000000,-1,0,22,7
72,5,-1.000000000000000,-1,0,85,7
78,6,-1.000000000000000,-1,0,62,7
82,7,-1.000000000000000,-1,0,32,7
76,8,-1.000000000000000,-1,0,40,7
86,8,-1.000000000000000,-1,0,27,7
90,8,-1.000000000000000,-1,0,31,7
97,8,-1.000000000000000,-1,0,36,7
71,10,-1.000000000000000,-1,0,30,7
81,10,-1.000000000000000,-1,0,32,7
98,10,-1.000000000000000,-1,0,20,7
93,11,-1.000000000000000,-1,0,31,7
75,12,-1.000000000000000,-1,0,98,7
89,12,-1.000000000000000,-1,0,89,7
70,13,-1.000000000000000,-1,0,140,7
81,13,-1.000000000000000,-1,0,24,7
78,16,-1.000000000000000,-1,0,36,7
84,16,-1.000000000000000,-1,0,87,7
89,16,-1.000000000000000,-1,0,23,7
83,18,-1.000000000000000,-1,0,54,7
88,18,-1.000000000000000,-1,0,38,7
77,19,-1.000000000000000,-1,0,31,7
80,20,-1.000000000000000,-1,0,26,7
86,20,-1.000000000000000,-1,0,103,7
85,22,-1.000000000000000,-1,0,69,7
95,25,-1.000000000000000,-1,0,48,7
75,28,-1.000000000000000,-1,0,48,7
80,30,-1.000000000000000,-1,0,21,7
70,34,-1.000000000000000,-1,0,33,7
79,34,-1.000000000000000,-1,0,30,7
98,34,-1.000000000000000,-1,0,31,7
122,3,-1.000000000000000,-1,0,40,7
100,4,-1.000000000000000,-1,0,43,7
104,4,-1.000000000000000,-1,0,51,7
125,4,-1.000000000000000,-1,0,28,7
117,5,-1.000000000000000,-1,0,63,7
130,5,-1.000000000000000,-1,0,68,7
106,6,-1.000000000000000,-1,0,27,7
114,6,-1.000000000000000,-1,0,53,7
122,6,-1.000000000000000,-1,0,76,7
104,7,-1.000000000000000,-1,0,23,7
113,8,-1.000000000000000,-1,0,25,7
120,8,-1.000000000000000,-1,0,53,7
128,8,-1.000000000000000,-1,0,70,7
102,9,-1.000000000000000,-1,0,21,7
109,10,-1.000000000000000,-1,0,62,7
99,11,-1.000000000000000,-1,0,24,7
105,11,-1.000000000000000,-1,0,60,7
107,11,-1.000000000000000,-1,0,62,7
117,11,-1.000000000000000,-1,0,70,7
120,11,-1.000000000000000,-1,0,36,7
122,11,-1.000000000000000,-1,0,26,7
126,12,-1.000000000000000,-1,0,48,7
105,13,-1.000000000000000,-1,0,77,7
111,13,-1.000000000000000,-1,0,36,7
114,13,-1.000000000000000,-1,0,51,7
130,13,-1.000000000000000,-1,0,45,7
114,15,-1.000000000000000,-1,0,28,7
110,16,-1.000000000000000,-1,0,24,7
124,17,-1.000000000000000,-1,0,61,7
119,18,-1.000000000000000,-1,0,63,7
127,18,-1.000000000000000,-1,0,31,7
130,18,-1.000000000000000,-1,0,38,7
115,19,-1.000000000000000,-1,0,24,7
122,19,-1.000000000000000,-1,0,34,7
112,20,-1.000000000000000,-1,0,48,7
130,21,-1.000000000000000,-1,0,93,7
110,22,-1.000000000000000,-1,0,94,7
122,22,-1.000000000000000,-1,0,24,7
114,23,-1.000000000000000,-1,0,28,7
119,23,-1.000000000000000,-1,0,56,7
129,23,-1.000000000000000,-1,0,81,7
116,24,-1.000000000000000,-1,0,29,7
125,24,-1.000000000000000,-1,0,68,7
101,25,-1.000000000000000,-1,0,45,7
118,28,-1.000000000000000,-1,0,20,7
123,29,-1.000000000000000,-1,0,92,7
129,30,-1.000000000000000,-1,0,29,7
103,31,-1.000000000000000,-1,0,72,7
107,31,-1.000000000000000,-1,0,64,7
114,31,-1.000000000000000,-1,0,90,7
117,31,-1.000000000000000,-1,0,63,7
116,33,-1.000000000000000,-1,0,70,7
120,33,-1.000000000000000,-1,0,54,7
99,34,-1.000000000000000,-1,0,30,7
109,34,-1.000000000000000,-1,0,37,7
127,34,-1.000000000000000,-1,0,29,7
102,35,-1.000000000000000,-1,0,46,7
121,35,-1.000000000000000,-1,0,37,7
124,35,-1.000000000000000,-1,0,25,7
108,36,-1.000000000000000,-1,0,56,7
112,37,-1.000000000000000,-1,0,26,7
119,37,-1.000000000000000,-1,0,25,7
104,39,-1.000000000000000,-1,0,31,7
132,3,-1.000000000000000,-1,0,55,7
135,3,-1.000000000000000,-1,0,26,7
142,3,-1.000000000000000,-1,0,52,7
131,5,-1.000000000000000,-1,0,50,7
150,5,-1.000000000000000,-1,0,28,7
135,9,-1.000000000000000,-1,0,89,7
132,11,-1.000000000000000,-1,0,55,7
143,13,-1.000000000000000,-1,0,92,7
136,14,-1.000000000000000,-1,0,34,7
139,14,-1.000000000000000,-1,0,55,7
161,15,-1.000000000000000,-1,0,24,7
131,17,-1.000000000000000,-1,0,29,7
134,17,-1.000000000000000,-1,0,38,7
139,17,-1.000000000000000,-1,0,62,7
159,17,-1.000000000000000,-1,0,21,7
134,20,-1.000000000000000,-1,0,47,7
141,20,-1.000000000000000,-1,0,67,7
131,21,-1.000000000000000,-1,0,103,7
136,23,-1.000000000000000,-1,0,50,7
140,23,-1.000000000000000,-1,0,68,7
131,24,-1.000000000000000,-1,0,80,7
135,27,-1.000000000000000,-1,0,21,7
139,27,-1.000000000000000,-1,0,93,7
173,5,-1.000000000000000,-1,0,49,7
169,9,-1.000000000000000,-1,0,24,7
188,12,-1.000000000000000,-1,0,110,7
186,15,-1.000000000000000,-1,0,47,7
224,3,-1.000000000000000,-1,0,22,7
218,13,-1.000000000000000,-1,0,51,7
226,14,-1.000000000000000,-1,0,82,7
206,16,-1.000000000000000,-1,0,33,7
223,16,-1.000000000000000,-1,0,62,7
208,20,-1.000000000000000,-1,0,26,7
218,21,-1.000000000000000,-1,0,92,7
215,23,-1.000000000000000,-1,0,64,7
219,26,-1.000000000000000,-1,0,139,7
228,3,-1.000000000000000,-1,0,56,7
232,3,-1.000000000000000,-1,0,24,7
236,3,-1.000000000000000,-1,0,29,7
250,4,-1.000000000000000,-1,0,22,7
231,6,-1.000000000000000,-1,0,50,7
244,8,-1.000000000000000,-1,0,86,7
248,8,-1.000000000000000,-1,0,28,7
239,10,-1.000000000000000,-1,0,68,7
